pharmacy_id,batch_id,drug_name,drug_form,expiry_date,quantity,temp_min_c,temp_max_c,current_temp,storage_condition,regulatory_tags,status,drug_embedding
bc1247c8-eb18-4f20-bea3-06a51232e0f2,a0c4262c-138b-4c5a-b6f0-b03be54eef17,Ciprofloxacin 500 mg,Tablet,2027-03-17,246,2.0,8.0,4.8,Fridge,[],available,
265ce7f9-abaa-4c4a-9cd5-c223a32425d9,e5fe2928-dc96-46c4-aa8a-e7f4c4246116,Omeprazole 40 mg,Capsule,2026-02-06,61,15.0,25.0,19.3,Shelf,[],available,
ebc8536d-5560-4075-bffc-cb5bc6fe6960,396610c4-07f5-43a3-a669-6c6a8325dfbe,Atorvastatin 20 mg,Tablet,2027-04-11,169,15.0,25.0,20.0,Shelf,[],available,
5f0f2095-d98f-45c7-82c4-5b033cd55357,3e779aa8-59fb-43ad-adb2-6b70b5eb489b,Atorvastatin 10 mg,Tablet,2026-09-08,78,2.0,8.0,4.6,Fridge,[],available,
36bf9ea2-9829-4f34-a761-fa303429f0df,60a4e0ac-4688-413e-8d63-b540bcb6f025,Salbutamol 100 mcg,Inhaler,2025-11-05,43,-20.0,-20.0,-14.9,Freezer,[],available,
350fc260-d623-4b02-9e27-14d2513b74cd,ee43e836-c34b-434e-91b7-9abdb32ecdcd,Azithromycin 500 mg,Tablet,2026-04-04,177,15.0,25.0,19.9,Shelf,[],available,
5b9df623-a8af-466d-b0d6-bbd53324cdbc,a7e16f21-2dce-4150-90b0-fa9f5fc4c893,Salbutamol 100 mcg,Inhaler,2026-10-11,138,2.0,8.0,6.4,Fridge,[],available,
fda80349-51aa-41e3-8410-cc5efea7590e,59ff9541-d666-45c4-9988-02813719edab,ORS,Sachet,2026-02-12,45,-20.0,-20.0,-14.6,Freezer,[],available,
2a8b469c-b8b7-4222-ad06-81ae8b5fab3f,57650318-5c80-401a-953e-2c3f224ff90e,Atorvastatin 20 mg,Tablet,2025-11-27,63,2.0,8.0,5.2,Fridge,[],available,
761f830c-69be-4a26-b60c-62e9f36ed74e,600e25cd-a15f-4e4e-a323-4e8faeff378c,Atorvastatin 10 mg,Tablet,2026-03-18,119,-20.0,-20.0,-16.4,Freezer,[],available,
6e7fea6d-d797-46c8-8164-6502223cf470,cd5a84e0-57ff-4f42-ace2-79cdd78ea6a6,Losartan 25 mg,Tablet,2026-10-21,80,-20.0,-20.0,-14.6,Freezer,[],available,
4d54ed69-2275-49c4-b58e-2003d8be9bdc,65fea9de-9ad7-48b8-a4d8-0e9b1a17a03a,Salbutamol 100 mcg,Inhaler,2027-03-15,82,-20.0,-20.0,-14.1,Freezer,[],available,
5212d03a-3d3a-49d6-a42b-07f492251d50,6e92ec99-8761-4736-925f-80c04f6ec522,Losartan 50 mg,Tablet,2026-04-08,75,-20.0,-20.0,-13.2,Freezer,[],available,
a117f331-938d-48f5-9d86-53fa0d81aa7e,d3ad8f4a-068f-4091-a383-6f32e8783f24,Omeprazole 40 mg,Capsule,2027-04-12,118,2.0,8.0,4.4,Fridge,[],available,
49a305cf-6e8f-4299-912d-ca712caf69ff,410eacdb-8bf3-452f-b298-edc3c2e65071,Amoxicillin 250 mg,Capsule,2026-04-07,78,2.0,8.0,4.2,Fridge,[],available,
7e759f3b-e17a-4b40-9bb9-1b90a9a5e6c4,f1842baa-5949-459f-a669-5045b509ab0d,Azithromycin 500 mg,Tablet,2026-05-26,132,-20.0,-20.0,-15.2,Freezer,[],available,
d1be9ed3-85ff-427e-a2f3-1e0b10a443aa,30abd731-c152-4e4f-a5b5-3dd63bf7f632,Insulin Human 100 IU/mL,Pen,2025-12-13,62,2.0,8.0,5.0,Fridge,[],available,
e7a0af59-62b8-44b6-b727-48b8d06470de,f8c949e0-0efc-4e4d-93b3-537973a955d4,Amoxicillin 500 mg,Tablet,2026-03-17,46,-20.0,-20.0,-14.0,Freezer,[],available,
84e0eada-8845-477a-a9a9-bf98c8cd84a9,60b2b28d-1781-4d4e-84a6-d71cee7593ef,Salbutamol 100 mcg,Inhaler,2026-08-28,110,2.0,8.0,4.8,Fridge,[],available,
557f0eab-034c-4c4f-aeb8-53b776051c9d,b5b72921-140f-47f8-9495-4bddbaa76e7d,Atenolol 50 mg,Tablet,2026-10-09,124,2.0,8.0,4.1,Fridge,[],available,
34f082e6-fe3a-4350-9ba9-81184b8b2b90,31d54b4c-e9e8-4381-adcc-e23319645c1c,Ciprofloxacin 500 mg,Tablet,2025-11-19,82,-20.0,-20.0,-14.2,Freezer,[],available,
4a1bfb1e-7cae-4ae3-9ef6-4734aaac2af9,6b1c6530-e57b-4e18-9f61-a7e6d0a96398,Ibuprofen 400 mg,Tablet,2026-10-17,41,2.0,8.0,4.6,Fridge,[],available,
684898ce-a005-4d20-8967-fbfa7b2f7d5f,87f94c60-f511-4cce-ba78-1ab2535cc0d7,ORS,Sachet,2027-01-26,50,-20.0,-20.0,-16.5,Freezer,[],available,
8589e795-d355-4223-a0bc-215518b66985,e740684e-31a8-4715-977a-e6533866b0a6,Metformin 500 mg,Tablet,2026-04-27,45,-20.0,-20.0,-13.7,Freezer,[],available,
390c9e14-2aa5-4d25-a2d3-7f41b5791fb4,78468172-a3fa-435a-96be-be741e946979,Omeprazole 40 mg,Capsule,2026-02-20,51,15.0,25.0,18.7,Shelf,[],available,
860b7049-18ac-4021-a504-82dc891e4e3d,6f4e3dae-4c91-46df-812e-b441e151be26,Losartan 50 mg,Tablet,2026-04-22,81,-20.0,-20.0,-16.1,Freezer,[],available,
d4d0d757-bff6-4472-81d1-030877b97cc4,39e8c698-3567-4627-a32d-c59d1a20f232,Ibuprofen 400 mg,Capsule,2026-08-11,156,15.0,25.0,18.4,Shelf,[],available,
8be65952-c935-4a30-8439-2e84bad1a8e7,5ccceaba-890c-41ca-a36e-f7b4cf12575f,Losartan 25 mg,Tablet,2026-01-23,255,2.0,8.0,4.9,Fridge,[],available,
07dae213-27a6-4861-bc5e-3c28c33fdd87,e5b5e457-48d9-44f0-bc44-9959c27df928,Atenolol 50 mg,Tablet,2026-05-16,66,15.0,25.0,18.1,Shelf,[],available,
783ccce9-6e22-47e5-afc9-b4bf92ce9e80,6e4db6ff-3f8e-4ec4-aa70-8f0d873f1b7c,Metformin 500 mg,Tablet,2027-02-23,235,15.0,25.0,19.7,Shelf,[],available,
1dd34a50-f7d3-4807-bd9a-0bacf5ef6ee0,143f55f9-0dff-4cf2-a6f6-2ce5882d88c2,Atorvastatin 10 mg,Tablet,2026-11-17,59,2.0,8.0,5.3,Fridge,[],available,
d858c12d-b5f3-4f7b-8d7b-f51121768af4,b68c1f7e-6458-489a-a972-610879d63f52,Azithromycin 250 mg,Tablet,2026-01-19,59,-20.0,-20.0,-14.8,Freezer,[],available,
b1c68ec7-0ff1-4986-9a06-5d18af31a6b8,a73879cb-a14b-42ab-9d96-4fff58a6dad9,Losartan 50 mg,Tablet,2026-08-24,110,15.0,25.0,19.0,Shelf,[],available,
46298590-2d3d-4da9-9e4d-d136295256bb,c161598a-5796-44a9-89cd-3fe9dcc1c564,Salbutamol 100 mcg,Inhaler,2026-06-02,62,-20.0,-20.0,-13.4,Freezer,[],available,
9161fb08-1d59-4cc0-b703-ac1aff957c88,f9ac955b-f9b4-4df9-917e-eb40ab39ddda,Azithromycin 500 mg,Tablet,2026-01-16,260,-20.0,-20.0,-16.8,Freezer,[],available,
ad3ede69-1fb7-472e-bda4-932cd62cbf8f,0aff4795-c9eb-496d-9499-9d5e79ac817e,Omeprazole 40 mg,Capsule,2027-03-11,63,15.0,25.0,20.2,Shelf,[],available,
428e2018-d8fc-4459-97e4-d72f98ba3cf9,20ce2fbd-a46d-4bd6-a312-cab0e44218ac,Ibuprofen 200 mg,Tablet,2025-10-31,54,-20.0,-20.0,-16.1,Freezer,[],available,
aa8bda00-9daa-4ee7-bc1f-7eadd71b591e,a2a018f3-3917-481a-b94f-147fe40cba33,Salbutamol 100 mcg,Inhaler,2026-04-17,119,-20.0,-20.0,-15.7,Freezer,[],available,
67d8b154-e118-480a-acb5-b653fbf054e7,cd9fb9e8-ec0f-4a52-b57f-771eab3314bb,Azithromycin 500 mg,Tablet,2027-02-03,49,2.0,8.0,5.4,Fridge,[],available,
96e6b492-602f-46a9-8d9a-7977692f3b14,ca540525-2e19-4bd7-808f-71b91084cf8f,Omeprazole 40 mg,Capsule,2027-02-09,30,-20.0,-20.0,-13.5,Freezer,[],available,
33df9cfb-8abd-453e-ba05-6091a204b377,002b5d86-c1af-4990-b220-6e1d88ef70b7,Losartan 25 mg,Tablet,2026-10-07,78,15.0,25.0,20.4,Shelf,[],available,
