site_name,city,state_ut,country,latitude,longitude,license_status,capacity,contact_email,regulation_zone
Asha Clinic,Agra,,India,27.107725,78.21757,active,967,ops-5768@agra.in,IN
Aarogya Health Centre,Kochi,,India,9.689365,76.451297,active,280,ops-3369@kochi.in,IN
Jeevan Community Hospital,Coimbatore,,India,11.195944,77.010426,active,964,ops-1894@coimbatore.in,IN
Jatan Health Centre,Nagpur,,India,21.070651,78.944918,active,550,ops-4282@nagpur.in,IN
Ujjwal Medical Post,Chennai,,India,13.033926,80.334681,active,638,ops-6595@chennai.in,IN
Jagruti Care Hub,Srinagar,,India,34.056665,74.640923,pending,1172,ops-6425@srinagar.in,IN
Jeevan Community Hospital,Agra,,India,27.325344,78.136248,active,1198,ops-5909@agra.in,IN
Sahyog Clinic,Lucknow,,India,27.009729,81.087851,active,1122,ops-2717@lucknow.in,IN
Aarogya Health Centre,Ranchi,,India,23.640348,85.202171,pending,839,ops-4594@ranchi.in,IN
Jagruti Health Centre,Thane,,India,19.363677,73.088128,active,847,ops-8643@thane.in,IN
Disha Community Hospital,Bhopal,,India,23.13298,77.295104,active,886,ops-8876@bhopal.in,IN
Jeevan Health Centre,Meerut,,India,28.857443,77.750214,active,996,ops-4363@meerut.in,IN
Aarogya Clinic,New Delhi,,India,28.646403,77.312703,pending,944,ops-6944@newdelhi.in,IN
Shraddha Clinic,Nashik,,India,20.018324,73.818806,active,652,ops-1491@nashik.in,IN
Sahyog Health Centre,Surat,,India,21.061793,72.766538,active,760,ops-5760@surat.in,IN
Aarogya Clinic,Amritsar,,India,31.68244,74.882732,active,1142,ops-6896@amritsar.in,IN
Nirmal Health Centre,Nagpur,,India,21.248088,79.059927,active,771,ops-4241@nagpur.in,IN
Disha Health Centre,Thane,,India,19.03358,72.941487,active,697,ops-5292@thane.in,IN
Sanjeevani Health Centre,Agra,,India,27.169324,77.931698,active,1328,ops-5029@agra.in,IN
Nirmal Clinic,Mumbai,,India,19.099998,72.967066,pending,848,ops-3884@mumbai.in,IN
Jeevan Clinic,Mumbai,,India,19.110093,73.004607,active,727,ops-3248@mumbai.in,IN
Nirmal Medical Post,Agra,,India,26.972198,78.219851,active,364,ops-4444@agra.in,IN
Pragati Community Hospital,Bhopal,,India,23.403811,77.551915,active,889,ops-7056@bhopal.in,IN
Pragati Care Hub,Lucknow,,India,27.163958,81.022455,active,690,ops-9633@lucknow.in,IN
Seva Health Centre,Vasai-Virar,,India,19.246115,72.73487,active,471,ops-2071@vasai-virar.in,IN
Ujjwal Care Hub,Jaipur,,India,26.751387,75.611259,active,569,ops-4107@jaipur.in,IN
Asha Care Hub,Meerut,,India,29.057162,77.775051,active,823,ops-7131@meerut.in,IN
Aarogya Care Hub,Vasai-Virar,,India,19.533915,72.490084,active,1091,ops-5006@vasai-virar.in,IN
Shraddha Community Hospital,Amritsar,,India,31.739331,74.779772,pending,1193,ops-4098@amritsar.in,IN
Ujjwal Clinic,Surat,,India,21.288272,72.966411,active,1011,ops-6368@surat.in,IN
Shraddha Care Hub,Patna,,India,25.711081,85.319149,active,637,ops-3071@patna.in,IN
Disha Clinic,Ranchi,,India,23.29871,85.190832,active,706,ops-4428@ranchi.in,IN
Sanjeevani Care Hub,Guwahati,,India,26.228467,91.533995,active,898,ops-2062@guwahati.in,IN
Asha Medical Post,Meerut,,India,29.244165,77.724084,active,824,ops-9342@meerut.in,IN
Sanjeevani Community Hospital,Kochi,,India,9.847392,76.368833,pending,729,ops-8606@kochi.in,IN
Disha Medical Post,Faridabad,,India,28.134414,77.352325,revoked,772,ops-9609@faridabad.in,IN
Nirmal Care Hub,Ranchi,,India,23.408701,85.25977,active,673,ops-8762@ranchi.in,IN
Ujjwal Health Centre,Rajkot,,India,22.49696,70.927549,active,1156,ops-1599@rajkot.in,IN
Ujjwal Medical Post,Nagpur,,India,21.050574,79.289944,active,705,ops-8406@nagpur.in,IN
Jeevan Medical Post,Indore,,India,22.661529,75.782598,active,646,ops-6013@indore.in,IN
Asha Community Hospital,Visnagar,,India,23.632445,72.568155,active,625,ops-3575@visnagar.in,IN
Sanjeevani Clinic,Trichy,,India,10.664696,78.727471,active,748,ops-2388@trichy.in,IN
Shraddha Community Hospital,Vadodara,,India,22.166232,72.886293,pending,961,ops-8282@vadodara.in,IN
Sahyog Care Hub,Thane,,India,18.840715,73.024722,active,910,ops-1674@thane.in,IN
Sahyog Medical Post,Agra,,India,27.20486,78.264556,active,826,ops-7981@agra.in,IN
Asha Medical Post,Vasai-Virar,,India,19.50228,72.801167,active,993,ops-7700@vasai-virar.in,IN
Jeevan Clinic,Ludhiana,,India,30.950995,76.2806,active,441,ops-5473@ludhiana.in,IN
Ujjwal Community Hospital,Kanpur,,India,26.357282,80.359905,active,1069,ops-8236@kanpur.in,IN
Seva Community Hospital,Chennai,,India,12.910661,80.120529,active,837,ops-6883@chennai.in,IN
Shraddha Clinic,Coimbatore,,India,11.016314,77.194915,active,1200,ops-9401@coimbatore.in,IN
Seva Clinic,Patna,,India,25.861574,85.224029,active,810,ops-4731@patna.in,IN
Aarogya Care Hub,Chennai,,India,13.259504,79.98805,active,1149,ops-6902@chennai.in,IN
Ujjwal Community Hospital,Nagpur,,India,21.041745,79.095764,active,740,ops-6468@nagpur.in,IN
Disha Community Hospital,Visakhapatnam,,India,17.682607,83.161703,active,1115,ops-5959@visakhapatnam.in,IN
